026                                                                           NOMBRE CONSULTA  . . LISTASRC
   1                                                                          NOMBRE BIBLIOTECA . .PASO
   2                                                                          ARCHIVO      BIBLIOTECA   MIEMBRO      FORMATO
   1                                                                          LISTASRC     PASO         LISTASRC     QWHFDML
   2                                                                          FECHA  . . . . . . . 31/08/19
   1                                                                          HORA . . . . . . . . 11:04:31
006 31/08/19  11:04:31                                                                     PÁGINA    1
   2Archivo     Biblioteca  Miembro     Tipo        TEXT
   1                                    Fuente      Texto'descripción'
   2QSRCGSR     PASO        AAAAAAA01   PF          TEST
   1QSRCGSR     PASO        AAAAAAA02   RPGLE       DTAARA - Actualiza DTAARA
   1QSRCGSR     PASO        AALSATFTP   CLLE        AALAPR - FTP
   1QSRCGSR     PASO        BORRAGGGGG  RPGLE       Convenio - BORRA ALGUNOS ESTILOS
   1QSRCGSR     PASO        CAL50PORIJ  RPGLE       Paso de la calificacion TT desplazamiento a Rent
   1QSRCGSR     PASO        CAL50PORIK  RPGLE       Calculo de invernal de solo el 50% de bonificacion
   1QSRCGSR     PASO        CAL50PORIR  RPGLE       Calculo de invernal de solo el 50% de bonificacion
   1QSRCGSR     PASO        CAMBIATA    RPGLE       Convenio - Actualizacion Tabla
   1QSRCGSR     PASO        COPIASPOOL  RPGLE       Copia Spool
   1QSRCGSR     PASO        ESTESP01    RPGLE       Convenio - Carga Reprogramaciones
   1QSRCGSR     PASO        GUSPAS      CLLE        Pasa todo
   1QSRCGSR     PASO        INVBALGUSL  LF          pasol
   1QSRCGSR     PASO        MILANOTAB   RPGLE       AALAPR - Generacion de Pipes
   1QSRCGSR     PASO        PASOL       LF          pasol
   1QSRCGSR     PASO        REBACTDES   RPGLE       Convenio - Actualiza Descripciones SAT177f25
   1QSRCGSR     PASO        REBMASIVA   RPGLE       Convenio - Rebaja Masiva
   1QSRCGSR     PASO        REBMASIVAF  PF          Rebaja Masiva
   1QSRCGSR     PASO        REBMASIVA2  RPGLE       Convenio - Rebaja Masiva
   1QSRCGSR     PASO        REBMASTDAF  PF          Rebaja Masiva
   1QSRCGSR     PASO        RECALDIF    RPGLE       Convenio - Recalculo Diferenciado
   1QSRCGSR     PASO        RECALDIFPF  PF          Eventos de Precio
   1QSRCGSR     PASO        RECUPERAST  RPGLE       Convenio - RECUPERA ESTATUS
   1QSRCGSR     PASO        REPRO01     RPGLE       Convenio - Carga Reprogramaciones
   1QSRCGSR     PASO        REPRO02     RPGLE       Convenio - Carga Reprogramaciones  DOS
   1QSRCGSR     PASO        SATALIN     RPGLE       Convenio - Alineacion de compradores
   1QSRCGSR     PASO        SATDEVLF    LF          Devoluciones Dictadas
   1QSRCGSR     PASO        SATPCC13    CLLE        Resumen de Ventas desde CSHTND
   1QSRCGSR     PASO        SATPCC21    CLLE        Reporte de Antiguedad de Mercacia
   1QSRCGSR     PASO        SATPCFJER   PF          Reporte de Gerarquias a 3er nivel
   1QSRCGSR     PASO        SATPCF0     PF          Eventos de Precio
   1QSRCGSR     PASO        SATPCF02    PF          Reporte Paco Deptos 13 11 08
   1QSRCGSR     PASO        SATPCF05    PF          Reporte de Gerarquias a 3er nivel
   1QSRCGSR     PASO        SATPCF1     PF          Reporte Paco 01
   1QSRCGSR     PASO        SATPCF10    PF          Reporte de Ventas desde CSHTND Detalle
   1QSRCGSR     PASO        SATPCF11    PF          Reporte de Ventas desde CSHTND Resumen
   1QSRCGSR     PASO        SATPCF20    PF          Reporte de Antiguedad de Mercacia
   1QSRCGSR     PASO        SATPCF21    PF          Reporte de Antiguedad de Mercacia
   1QSRCGSR     PASO        SATPCF22    PF          Reporte de Antiguedad de Mercacia Descripciones
   1QSRCGSR     PASO        SATPCF25    PF          Consulta de estilos con primera venta en tienda
   1QSRCGSR     PASO        SATPCF30    PF          Reporte Paco Transacciones por Tienda
   1QSRCGSR     PASO        SATPCF31    PF          Reporte Paco Transacciones por Tienda Y DIA
   1QSRCGSR     PASO        SATPCF32    PF          Reporte Paco Transacciones por 7 DIAS Y UN MES
   1QSRCGSR     PASO        SATPCF33    PF          Reporte Paco Transacciones por 7 DIAS Y 12 MESES
   1QSRCGSR     PASO        SATPCF34    PF          Reporte Paco Transacciones por 7 DIAS Y UN MES
   1QSRCGSR     PASO        SATPCF42    PF          Ventas - Ajustes
   1QSRCGSR     PASO        SATPCF43    PF          Ventas - Recibos
   1QSRCGSR     PASO        SATPCF44    PF          Ventas - Inventario por Mes
   1QSRCGSR     PASO        SATPCF45    PF          Inventario On Hand y Tránsito Meses Anteriores
   1QSRCGSR     PASO        SATPCF99    PF          Eventos de Precio
   1QSRCGSR     PASO        SATPCRCTL   PF          Ventas - Control
006 31/08/19  11:04:31                                                                     PÁGINA    2
   2Archivo     Biblioteca  Miembro     Tipo        TEXT
   1                                    Fuente      Texto'descripción'
   2QSRCGSR     PASO        SATPCRDLY   RPGLE       Ventas - Delay
   1QSRCGSR     PASO        SATPCRF01   PF          Ventas - Reporte final
   1QSRCGSR     PASO        SATPCRG     PF          Ventas - Detalle
   1QSRCGSR     PASO        SATPCRL05   LF          INSBAL
   1QSRCGSR     PASO        SATPCRPF    PF          Ventas - Detalle
   1QSRCGSR     PASO        SATPCR0     RPGLE       Eventos de Precio
   1QSRCGSR     PASO        SATPCR02    RPGLE       Reporte Paco Deptos 13 11 8
   1QSRCGSR     PASO        SATPCR04    RPGLE       Reporte por jerarquia a 3er nivel Divide Proceso
   1QSRCGSR     PASO        SATPCR05    RPGLE       Reporte por jerarquia a 3er nivel
   1QSRCGSR     PASO        SATPCR1     RPGLE       Reporte Paco 01
   1QSRCGSR     PASO        SATPCR10    RPGLE       Reporte de Ventas desde CSHTND
   1QSRCGSR     PASO        SATPCR11    RPGLE       Reporte de Ventas desde CSHTND
   1QSRCGSR     PASO        SATPCR12    RPGLE       Div Proceso
   1QSRCGSR     PASO        SATPCR13    RPGLE       Resumen de Ventas desde CSHTND
   1QSRCGSR     PASO        SATPCR20    RPGLE       Reporte de Antiguedad de Mercacia
   1QSRCGSR     PASO        SATPCR21    RPGLE       Reporte de Antiguedad de Mercacia Descripciones
   1QSRCGSR     PASO        SATPCR25    RPGLE       Consulta de estilos con primera venta en tienda
   1QSRCGSR     PASO        SATPCR30    RPGLE       Resumen de Transacciones por Tienda
   1QSRCGSR     PASO        SATPCR31    RPGLE       Resumen de Transacciones por Tienda
   1QSRCGSR     PASO        SATPCR31BK  RPGLE       Resumen de Transacciones por Tienda Dia
   1QSRCGSR     PASO        SATPCR32    RPGLE       Resumen de Transacciones por Tienda 7 DIAS 1 MESES
   1QSRCGSR     PASO        SATPCR33    RPGLE       Resumen de Transacciones por Tienda 7 DIAS 12 MESE
   1QSRCGSR     PASO        SATPCR34    RPGLE       Resumen de Transacciones por Tienda 7 DIAS 1 MESES
   1QSRCGSR     PASO        SATPCR40    RPGLE       Reporte de Ventas
   1QSRCGSR     PASO        SATPCR42    RPGLE       Ventas - Ajustes
